pregunta,respuesta
¿Qué significa DNA? ,DNA significa ácido desoxirribonucleico.
¿Cuál es la capital de Francia? ,La capital de Francia es París.
"Identifica el que no encaja. Twitter, Instagram, Telegram",Telegram
Traduisez la phrase suivante en français. I miss you,Je te manque.
Encuentra la capital de España. ,La capital de España es Madrid.
Proporcione un ejemplo de una práctica cultural. ,Un ejemplo de una práctica cultural es la ceremonia del té japonesa.
Identifica el adverbio más adecuado para la siguiente oración Ella trabaja,Ella trabaja diligentemente.
¿Cuáles son los tres colores primarios? ,"Los tres colores primarios son rojo, azul y amarillo."
Reescribe la siguiente oración usando voz activa. El informe de noticias fue leído por el capitán.,El capitán leyó el informe de noticias.
Convertir el número binario dado a su equivalente decimal. 101101,El equivalente decimal de 101101 es 45.
Transforme la siguiente oración a voz pasiva Compré un libro,Un libro fue comprado por mí.
Reescribe la siguiente oración en tercera persona I am anxious,Ella está ansiosa.
Dar dos ejemplos de un líquido. ,Dos ejemplos de líquidos son agua y aceite.
Convertir de Celsius a Fahrenheit. Temperatura en Celsius: 15,Temperatura en Fahrenheit: 59
"Dado un conjunto de números, encuentra el valor máximo. Conjunto: {10, 3, 25, 6, 16}",El valor máximo es 25.
"Dada una oración, conviértela en voz pasiva. The dog barked at the alley cat.",El gato del callejón fue ladrado por el perro.
Evaluar esta oración en busca de errores de ortografía y gramática El terminó su comida y dejó el resturante,Él terminó su comida y dejó el restaurante.
"Dado el siguiente input, clasifique el verbo como transitivo o intransitivo. mejorar",Intransitivo.
"Reducir la siguiente oración sin cambiar su significado When he came in, he woke everyone up",Despertó a todos al entrar.
"Usa los datos proporcionados para calcular la mediana. [2, 3, 7, 8, 10]",La mediana de los datos proporcionados es 7.
"Organiza los números dados en orden ascendente. 2, 4, 0, 8, 3","0, 2, 3, 4, 8"
Identifica las conjunciones en la siguiente oración Ella escribió una carta y la selló,"Las conjunciones en la oración son ""y""."
Analiza el tono de las siguientes frases Estoy muy molesto contigo en este momento,El tono de las frases es enojado y acusatorio.
Reescribe la oración para proporcionar más claridad y fluidez. Tomar la decisión de alquilar una casa fue una elección sabia,Alquilar una casa fue una decisión sabia para tomar.
Clasifique el siguiente incidente como una violación del protocolo. Emita 1 para violación y 0 para ninguna violación. Usar una computadora portátil escolar para uso personal,1
"Construir un problema matemático con los siguientes números 21, 4","Si 21 piezas de dulces se dividen entre 4 personas, ¿cuántas piezas de dulces recibe cada persona?"
Organiza las palabras en la oración dada para formar una oración gramaticalmente correcta. rápidamente el zorro marrón saltó,El zorro marrón saltó rápidamente.
"Clasifica lo siguiente en animales, plantas y minerales Roble, mineral de cobre, elefante","Roble: Planta
 Mineral de cobre: Mineral
 Elefante: Animal"
Edita la siguiente oración para hacerla más concisa. Él corrió hacia la parada de autobús para tomar el autobús que debía llegar en cinco minutos.,"Él corrió hacia la parada de autobús, que debía llegar en cinco minutos."
Dar tres consejos para mantenerse saludable. ,"1. Coma una dieta equilibrada y asegúrese de incluir suficientes frutas y verduras. 
2. Haga ejercicio regularmente para mantener su cuerpo activo y fuerte. 
3. Duerma lo suficiente y mantenga un horario de sueño constante."
Explica por qué la siguiente fracción es equivalente a 1/4 4/16,La fracción 4/16 es equivalente a 1/4 porque ambos numeradores y denominadores son divisibles por 4. Dividiendo ambos números de arriba y abajo por 4 se obtiene la fracción 1/4.
"Ingeniería inversa de este código para crear una nueva versión def factorialize(num):
  factorial = 1
  for i in range(1, num):
    factorial *= i
  
  return factorial","def factorialize(num):
  factorial = 1
  for i in range(num, 0, -1):
    factorial *= i
  
  return factorial"
