input,output
Go.,Ve.
Go.,Vete.
Go.,Vaya.
Go.,Váyase.
Hi.,Hola.
Run!,¡Corre!
Run!,¡Corran!
Run!,¡Huye!
Run!,¡Corra!
Run!,¡Corred!
Run.,Corra.
Run.,Corred.
Who?,¿Quién?
Wow!,¡Órale!
Duck!,¡Inclínate!
Duck!,¡Agáchate!
Duck!,¡Agáchese!
Duck!,¡Agáchense!
Duck!,¡Agachaos!
Fire!,¡Fuego!
Fire!,¡Incendio!
Fire!,¡Disparad!
Help!,¡Ayuda!
Help!,¡Socorro! ¡Auxilio!
Help!,¡Auxilio!
Hide.,Escóndete.
Jump!,¡Salta!
Jump.,Salte.
Jump.,Salto.
Stay.,Quédate.
Stay.,Quédese.
Stay.,Quédense.
Stay.,Quedaos.
Stop!,¡Parad!
Stop!,¡Para!
Stop!,¡Pare!
Wait!,¡Espera!
Wait!,¡Esperen!
Wait!,¡Espérate!
Wait.,Esperen.
Wait.,Espera.
Wait.,Espere.
Wait.,Esperad.
Begin.,Empieza.
Do it.,Hacedlo.
Go on.,Continúa.
Go on.,Continúe.
Hello!,Hola.
Hello.,Hola.
Hurry!,¡Date prisa!
Hurry!,¡Daos prisa!
Hurry!,Dese prisa.
I hid.,Me oculté.
I hid.,Me escondí.
I hid.,Me ocultaba.
I hid.,Me escondía.
I ran.,Corrí.
I ran.,Corría.
I try.,Lo intento.
I won!,¡He ganado!
I won!,¡He ganado yo!
Oh no!,"¡Oh, no!"
Relax.,Tomátelo con soda.
Relax.,Tranquila.
Shoot!,¡Fuego!
Shoot!,¡Disparad!
Shoot!,¡Disparen!
Shoot!,Dispara.
Shoot!,¡Dispara!
Shoot!,¡Dispará!
Shoot!,¡Dispare!
Smile.,Sonríe.
Sorry?,¿Disculpa?
Attack!,¡Al ataque!
Attack!,¡Atacad!
Attack!,¡Ataque!
Attack!,¡Ataquen!
Attack!,¡Ataca!
Buy it.,Cómprela.
Buy it.,Cómpralo.
Eat it.,Cómetelo.
Eat it.,Coméoslo.
Eat it.,Cómaselo.
Eat it.,Cómanselo.
Exhale.,Exhalar.
Exhale.,Espira.
Exhale.,Espirad.
Exhale.,Espire.
Exhale.,Espiren.
Get up.,Levanta.
Go now.,Ve ahora mismo.
Go now.,Id ahora mismo.
Go now.,Vaya ahora mismo.
Go now.,Vayan ahora mismo.
Go now.,Ve ya.
Go now.,Id ya.
Go now.,Vaya ya.
Go now.,Vayan ya.
Got it!,¡Lo tengo!
Got it?,¿Lo pillas?
Got it?,¿Entendiste?
He ran.,Él corrió.
He ran.,Corrió.
Hop in.,Métete adentro.
Hug me.,Abrázame.
I care.,Me preocupo.
I fell.,Me caí.
I fled.,Huí.
I fled.,Me escapé.
I fled.,Huía.
I fled.,Me escapaba.
I know.,Yo lo sé.
I know.,Sé.
I left.,Salí.
I lied.,Mentí.
I lost.,Perdí.
I paid.,Pagué.
I quit.,Dimito.
I quit.,Renuncié.
I quit.,Lo dejo.
I sang.,Canté.
I wept.,Lloré.
I wept.,Lloraba.
I work.,Estoy trabajando.
I'm 19.,Tengo diecinueve.
I'm up.,Estoy levantado.
Inhale.,Inhalar.
Inhale.,Inspira.
Inhale.,Inspirad.
Inhale.,Inspire.
Inhale.,Inspiren.
Listen.,Escucha.
Listen.,Escuche.
Listen.,Escuchen.
No way!,¡No puede ser!
No way!,De ninguna manera.
No way!,¡De ninguna manera!
No way!,¡Imposible!
No way!,¡De ningún modo!
No way!,¡De eso nada!
No way!,¡Ni cagando!
No way!,¡Mangos!
No way!,¡Minga!
No way!,¡Ni en pedo!
Really?,¿En serio?
Really?,¿La verdad?
Thanks!,¡Gracias!
Thanks.,¡Gracias!
Thanks.,Gracias.
Try it.,Pruébalo.
Try me.,"A que sí, ya verás."
We ate.,Comimos.
We try.,Lo procuramos.
We won.,Ganamos.
Why me?,¿Por qué yo?
Am I OK?,¿Estoy bien?
Ask Tom.,Pregúntale a Tom.
Ask him.,Pregúntale.
Awesome!,¡Órale!
Be calm.,Mantente en calma.
Be cool.,Estate tranquilo.
Be fair.,Sé justo.
Be good.,Sé bueno.
Be good.,Sé buena.
Be good.,Sed buenas.
